Player,Pos,Age,AST,STL,BLK,TOV,PTS,ALLSTAR
Alex Abrines\abrinal01,SG,23,40,37,8,33,406,0
Quincy Acy\acyqu01,PF,26,18,14,15,21,222,0
Alan Anderson\anderal01,SF,34,11,3,0,7,86,0
Justin Anderson\anderju01,SF,23,66,41,23,66,532,0
Justin Anderson\anderju01,SF,23,32,28,16,40,329,0
Justin Anderson\anderju01,SF,23,34,13,7,26,203,0
Kyle Anderson\anderky01,SF,23,91,51,26,39,246,0
Ryan Anderson\anderry01,PF,28,68,31,14,55,979,0
Giannis Antetokounmpo\antetgi01,SF,22,434,131,151,234,1832,1
Carmelo Anthony\anthoca01,SF,32,213,60,34,153,1659,1
